,BLKSPLITID,SPLIT,SPLIT_IDX,HH19,ADDPT,BLK_ACRES,BLK_HH19,BLK_ADDPT,PCT_ACRES,PCT_HH19
0,490111269024009_0,0,0,2.0,1.0,1.63678095078001,2.0,1.0,1.0,1.0
1,490111254152011_1,1,1,43.0,28.0,9.362326570220901,73.0,43.0,0.5192384284219376,0.589041095890411
2,490111254152011_2,1,2,30.0,15.0,9.362326570220901,73.0,43.0,0.4807615715780623,0.410958904109589
3,490111270024053_0,0,0,0.0,0.0,1.66664730599903,0.0,0.0,1.0,1.0
4,490111263033002_2,1,2,0.0,0.0,99.68843962787841,0.0,0.0,0.7026793861939075,0.7026793861939075
5,490111263033002_1,1,1,0.0,0.0,99.68843962787841,0.0,0.0,0.2973206138060924,0.2973206138060924
6,490111264021004_1,1,1,0.0,0.0,138.3433015089669,0.0,0.0,0.11261451111293666,0.11261451111293666
7,490111264021004_2,1,2,0.0,0.0,138.3433015089669,0.0,0.0,0.8873854888870634,0.8873854888870634
8,490111254082034_1,1,1,8.0,4.0,97.90754049334089,20.0,10.0,0.4240719048541592,0.4
9,490111254082034_2,1,2,12.0,6.0,97.90754049334089,20.0,10.0,0.5759280951458409,0.6
10,490111251022000_2,1,2,0.0,0.0,2628.0408943574143,0.0,0.0,0.021575785983557492,0.021575785983557492
11,490111251022000_3,1,3,0.0,0.0,2628.0408943574143,0.0,0.0,0.0010918164305180745,0.0010918164305180745
12,490111251022000_4,1,4,0.0,0.0,2628.0408943574143,0.0,0.0,0.9643655881311761,0.9643655881311761
13,490111251022000_1,1,1,0.0,0.0,2628.0408943574143,0.0,0.0,0.012966809454748377,0.012966809454748377
14,490111261011016_0,0,0,2.0,2.0,15.4996281120643,2.0,2.0,1.0,1.0
15,490111261062006_0,0,0,15.0,8.0,67.6744181777826,15.0,8.0,1.0,1.0
16,490111262041015_1,1,1,4.0,4.0,34.831845972417625,109.0,69.0,0.05750075198466735,0.03669724770642202
17,490111262041015_2,1,2,103.0,63.0,34.831845972417625,109.0,69.0,0.6392812819345951,0.944954128440367
18,490111262041015_3,1,3,2.0,2.0,34.831845972417625,109.0,69.0,0.30321796608073753,0.01834862385321101
19,490111251041004_0,0,0,0.0,0.0,4.54027317282954,0.0,0.0,1.0,1.0
20,490111270033016_0,0,0,0.0,0.0,393.477701296851,0.0,0.0,1.0,1.0
21,490111263042010_0,0,0,139.0,82.0,20.6928832751897,139.0,82.0,1.0,1.0
22,490111254112001_2,1,2,4.0,2.0,187.7477860048103,343.0,225.0,0.032891169772607136,0.011661807580174927
23,490111254112001_1,1,1,339.0,223.0,187.7477860048103,343.0,225.0,0.9671088302273929,0.9883381924198251
24,490111253074033_0,0,0,90.0,47.0,51.7625108475938,90.0,47.0,1.0,1.0
25,490111251032016_2,1,2,0.0,0.0,337.91812419197214,0.0,0.0,0.08326531836128884,0.08326531836128884
26,490111251032016_3,1,3,0.0,0.0,337.91812419197214,0.0,0.0,0.2661695032553538,0.2661695032553538
27,490111251032016_4,1,4,0.0,0.0,337.91812419197214,0.0,0.0,0.6377694941003372,0.6377694941003372
28,490111251032016_1,1,1,0.0,0.0,337.91812419197214,0.0,0.0,0.012795684283020093,0.012795684283020093
29,490111257023013_0,0,0,55.0,27.0,11.6063119698577,55.0,27.0,1.0,1.0
30,490111263031015_0,0,0,73.0,44.0,11.6950525415736,73.0,44.0,1.0,1.0
31,490111270024045_1,1,1,0.0,0.0,10.22082177217003,0.0,0.0,0.8580007602509131,0.8580007602509131
32,490111270024045_2,1,2,0.0,0.0,10.22082177217003,0.0,0.0,0.14199923974908696,0.14199923974908696
33,490111263062015_0,0,0,20.0,10.0,3.88685325380277,20.0,10.0,1.0,1.0
34,490111270033010_1,1,1,3.0,0.0,17.22210339200495,10.0,5.0,0.8783974521090573,0.3
35,490111270033010_2,1,2,7.0,5.0,17.22210339200495,10.0,5.0,0.1216025478909428,0.7
36,490111255032013_0,0,0,35.0,18.0,5.69824273400507,35.0,18.0,1.0,1.0
37,490111270062011_0,0,0,56.0,28.0,11.1958702436202,56.0,28.0,1.0,1.0
38,490111259081009_0,0,0,0.0,0.0,0.693994247007792,0.0,0.0,1.0,1.0
39,490111269022011_0,0,0,26.0,13.0,3.51444689417687,26.0,13.0,1.0,1.0
40,490111256001002_1,1,1,0.0,0.0,65.95735093216261,0.0,0.0,0.9504928246451431,0.9504928246451431
41,490111256001002_2,1,2,0.0,0.0,65.95735093216261,0.0,0.0,0.04950717535485692,0.04950717535485692
42,490111257023005_1,1,1,0.0,0.0,36.79176074663386,140.0,73.0,0.0277664056710666,0.0
43,490111257023005_2,1,2,140.0,73.0,36.79176074663386,140.0,73.0,0.9722335943289334,1.0
44,490111251021005_1,1,1,8.0,5.0,80.843635441433,77.0,39.0,0.6928592273442278,0.1038961038961039
45,490111251021005_2,1,2,69.0,34.0,80.843635441433,77.0,39.0,0.2506462986136899,0.8961038961038961
46,490111251021005_3,1,3,0.0,0.0,80.843635441433,77.0,39.0,0.05649447404208217,0.0
47,490111263041020_1,1,1,6.0,6.0,194.5189844186473,6.0,6.0,0.9411744184340788,1.0
48,490111263041020_2,1,2,0.0,0.0,194.5189844186473,6.0,6.0,0.058825581565921235,0.0
49,490111260014009_0,0,0,98.0,49.0,11.20757659135,98.0,49.0,1.0,1.0
50,490111253013015_0,0,0,36.0,18.0,4.47309493536446,36.0,18.0,1.0,1.0
51,490111261082016_0,0,0,157.0,79.0,86.7997100045337,157.0,79.0,1.0,1.0
52,490111255013016_0,0,0,60.0,30.0,9.1596883489864,60.0,30.0,1.0,1.0
53,490111264061022_0,0,0,46.0,25.0,9.02470798252051,46.0,25.0,1.0,1.0
54,490111263063030_0,0,0,176.0,36.0,5.90936058192126,176.0,36.0,1.0,1.0
55,490111260011013_0,0,0,76.0,2.0,25.3391233791451,76.0,2.0,1.0,1.0
56,490111271005022_0,0,0,0.0,0.0,0.957326597171783,0.0,0.0,1.0,1.0
57,490111263051000_3,1,3,0.0,0.0,3267.438972820011,0.0,0.0,0.9939908805310249,0.9939908805310249
58,490111263051000_1,1,1,0.0,0.0,3267.438972820011,0.0,0.0,0.0009901591448538887,0.0009901591448538887
59,490111263051000_2,1,2,0.0,0.0,3267.438972820011,0.0,0.0,0.005018960324121212,0.005018960324121212
60,490111264052001_0,0,0,37.0,22.0,5.83710345147822,37.0,22.0,1.0,1.0
61,490111270061015_1,1,1,0.0,0.0,20.35070866272987,54.0,28.0,0.10750842311606194,0.0
62,490111270061015_2,1,2,54.0,28.0,20.35070866272987,54.0,28.0,0.8924915768839381,1.0
63,490111270052016_1,1,1,23.0,21.0,150.9606444405982,146.0,83.0,0.8749966430654936,0.15753424657534246
64,490111270052016_2,1,2,123.0,62.0,150.9606444405982,146.0,83.0,0.12500335693450634,0.8424657534246576
65,490111257021000_0,0,0,35.0,35.0,25.575724849309,35.0,35.0,1.0,1.0
66,490111262032000_2,1,2,0.0,0.0,14.50055281724867,0.0,0.0,0.21709003225065016,0.21709003225065016
67,490111262032000_1,1,1,0.0,0.0,14.50055281724867,0.0,0.0,0.7829099677493498,0.7829099677493498
68,490111254074016_0,0,0,33.0,17.0,6.9232698888758,33.0,17.0,1.0,1.0
69,490111261072010_0,0,0,90.0,50.0,38.0591516617998,90.0,50.0,1.0,1.0
70,490111262043026_0,0,0,53.0,35.0,4.23789154342172,53.0,35.0,1.0,1.0
71,490119800001011_0,0,0,0.0,0.0,72.5165654855904,0.0,0.0,1.0,1.0
72,490111264041018_0,0,0,25.0,16.0,6.75401611068232,25.0,16.0,1.0,1.0
73,490111251032035_1,1,1,201.0,113.0,131.83930262330134,214.0,120.0,0.981703229318493,0.9392523364485982
74,490111251032035_2,1,2,13.0,7.0,131.83930262330134,214.0,120.0,0.01829677068150701,0.06074766355140187
75,490111269022000_0,0,0,89.0,50.0,23.1243462606031,89.0,50.0,1.0,1.0
76,490111264022009_0,0,0,67.0,38.0,52.7727786350768,67.0,38.0,1.0,1.0
77,490111263043005_0,0,0,0.0,0.0,4.03555723906019,0.0,0.0,1.0,1.0
78,490111260014001_0,0,0,184.0,92.0,76.304376699977,184.0,92.0,1.0,1.0
79,490111262061053_0,0,0,0.0,0.0,6.40916847101539,0.0,0.0,1.0,1.0
80,490111258102012_0,0,0,0.0,0.0,19.1577464921127,0.0,0.0,1.0,1.0
81,490111254082041_1,1,1,0.0,0.0,270.71800124834533,236.0,150.0,0.00396945783945824,0.0
82,490111254082041_2,1,2,236.0,150.0,270.71800124834533,236.0,150.0,0.9829197737534583,1.0
83,490111254082041_3,1,3,0.0,0.0,270.71800124834533,236.0,150.0,0.013110768407083584,0.0
84,490111257013006_1,1,1,432.0,180.0,30.57012645827237,432.0,180.0,0.9261868255400736,1.0
85,490111257013006_2,1,2,0.0,0.0,30.57012645827237,432.0,180.0,0.0738131744599264,0.0
86,490111263061015_0,0,0,47.0,27.0,5.93194686372872,47.0,27.0,1.0,1.0
87,490111263061002_0,0,0,346.0,134.0,24.4197723804582,346.0,134.0,1.0,1.0
88,490111261012020_0,0,0,1.0,1.0,14.3487224615612,1.0,1.0,1.0,1.0
89,490111254132024_0,0,0,38.0,19.0,7.75641378719649,38.0,19.0,1.0,1.0
90,490111260022021_0,0,0,0.0,0.0,16.1916627810316,0.0,0.0,1.0,1.0
91,490111255023010_0,0,0,48.0,24.0,8.60334371682075,48.0,24.0,1.0,1.0
92,490111269024000_0,0,0,214.0,67.0,31.7439544137224,214.0,67.0,1.0,1.0
93,490111266002010_0,0,0,60.0,30.0,11.4921899758774,60.0,30.0,1.0,1.0
94,490111260012015_0,0,0,65.0,34.0,11.1524697889749,65.0,34.0,1.0,1.0
95,490111265004014_0,0,0,6.0,5.0,25.9400721403905,6.0,5.0,1.0,1.0
96,490111254121011_0,0,0,64.0,32.0,9.87383079502609,64.0,32.0,1.0,1.0
97,490111259052000_0,0,0,152.0,104.0,14.9388359574229,152.0,104.0,1.0,1.0
98,490111259081004_0,0,0,2.0,2.0,2.26095629813692,2.0,2.0,1.0,1.0
99,490111261061007_0,0,0,86.0,43.0,14.3555337261082,86.0,43.0,1.0,1.0
