,BLKSPLITID,SPLIT,SPLIT_IDX,HH19,ADDPT,BLK_ACRES,BLK_HH19,BLK_ADDPT,PCT_ACRES,PCT_HH19
0,490111269024010_0,0,0,7.0,0.0,3.4027608213637,7.0,0.0,1.0,1.0
1,490111254152011_2,1,2,15.0,0.0,9.362326570220901,30.0,0.0,0.4807615715780623,0.5
2,490111254152011_1,1,1,15.0,0.0,9.362326570220901,30.0,0.0,0.5192384284219376,0.5
3,490111270024054_0,0,0,0.0,0.0,0.315007671347582,0.0,0.0,1.0,1.0
4,490111263033003_0,0,0,0.0,0.0,317.76220289013,0.0,0.0,1.0,1.0
5,490111264021004_2,1,2,0.0,0.0,138.3433015089669,0.0,0.0,0.8873854888870634,0.8873854888870634
6,490111264021004_1,1,1,0.0,0.0,138.3433015089669,0.0,0.0,0.11261451111293666,0.11261451111293666
7,490111254082034_2,1,2,6.0,0.0,97.90754049334089,10.0,0.0,0.5759280951458409,0.6
8,490111254082034_1,1,1,4.0,0.0,97.90754049334089,10.0,0.0,0.4240719048541592,0.4
9,490111251022000_2,1,2,0.0,0.0,2628.0408943574143,0.0,0.0,0.021575785983557492,0.021575785983557492
10,490111251022000_3,1,3,0.0,0.0,2628.0408943574143,0.0,0.0,0.0010918164305180745,0.0010918164305180745
11,490111251022000_4,1,4,0.0,0.0,2628.0408943574143,0.0,0.0,0.9643655881311761,0.9643655881311761
12,490111251022000_1,1,1,0.0,0.0,2628.0408943574143,0.0,0.0,0.012966809454748377,0.012966809454748377
13,490111261011017_0,0,0,91.0,0.0,24.8585779411336,91.0,0.0,1.0,1.0
14,490111261062008_0,0,0,0.0,0.0,27.0878307022171,0.0,0.0,1.0,1.0
15,490111262041015_2,1,2,40.0,0.0,34.831845972417625,42.0,2.0,0.6392812819345951,0.9523809523809523
16,490111262041015_3,1,3,2.0,2.0,34.831845972417625,42.0,2.0,0.30321796608073753,0.047619047619047616
17,490111262041015_1,1,1,0.0,0.0,34.831845972417625,42.0,2.0,0.05750075198466735,0.0
18,490111251041004_0,0,0,0.0,0.0,4.54027317282954,0.0,0.0,1.0,1.0
19,490111270033017_0,0,0,0.0,0.0,966.461246574728,0.0,0.0,1.0,1.0
20,490111263042016_0,0,0,0.0,0.0,1.79831114868045,0.0,0.0,1.0,1.0
21,490111254112002_1,1,1,0.0,0.0,1739.2335221335575,0.0,0.0,0.14055143150138888,0.14055143150138888
22,490111254112002_2,1,2,0.0,0.0,1739.2335221335575,0.0,0.0,0.07606596120192641,0.07606596120192641
23,490111254112002_3,1,3,0.0,0.0,1739.2335221335575,0.0,0.0,0.007524211979800194,0.007524211979800194
24,490111254112002_4,1,4,0.0,0.0,1739.2335221335575,0.0,0.0,0.45815633091212915,0.45815633091212915
25,490111254112002_5,1,5,0.0,0.0,1739.2335221335575,0.0,0.0,0.3177020644047554,0.3177020644047554
26,490111253074034_0,0,0,15.0,0.0,4.77274822352202,15.0,0.0,1.0,1.0
27,490111251032016_2,1,2,0.0,0.0,337.91812419197214,0.0,0.0,0.08326531836128884,0.08326531836128884
28,490111251032016_3,1,3,0.0,0.0,337.91812419197214,0.0,0.0,0.2661695032553538,0.2661695032553538
29,490111251032016_4,1,4,0.0,0.0,337.91812419197214,0.0,0.0,0.6377694941003372,0.6377694941003372
30,490111251032016_1,1,1,0.0,0.0,337.91812419197214,0.0,0.0,0.012795684283020093,0.012795684283020093
31,490111258011000_0,0,0,24.0,0.0,27.5406161941538,24.0,0.0,1.0,1.0
32,490111263031016_0,0,0,36.0,0.0,14.0887992665074,36.0,0.0,1.0,1.0
33,490111270024045_2,1,2,0.0,0.0,10.22082177217003,0.0,0.0,0.14199923974908696,0.14199923974908696
34,490111270024045_1,1,1,0.0,0.0,10.22082177217003,0.0,0.0,0.8580007602509131,0.8580007602509131
35,490111263062019_0,0,0,0.0,0.0,6.09961731900146,0.0,0.0,1.0,1.0
36,490111270033010_2,1,2,2.0,0.0,17.22210339200495,5.0,0.0,0.1216025478909428,0.4
37,490111270033010_1,1,1,3.0,0.0,17.22210339200495,5.0,0.0,0.8783974521090573,0.6
38,490111255032014_0,0,0,25.0,0.0,6.06486224049172,25.0,0.0,1.0,1.0
39,490111270063000_0,0,0,0.0,0.0,9.01955418387666,0.0,0.0,1.0,1.0
40,490111259081011_0,0,0,0.0,0.0,1.71325865623477,0.0,0.0,1.0,1.0
41,490111269023000_0,0,0,26.0,0.0,18.5252500352982,26.0,0.0,1.0,1.0
42,490111256001002_2,1,2,0.0,0.0,65.95735093216261,0.0,0.0,0.04950717535485692,0.04950717535485692
43,490111256001002_1,1,1,0.0,0.0,65.95735093216261,0.0,0.0,0.9504928246451431,0.9504928246451431
44,490111257023005_2,1,2,67.0,0.0,36.79176074663386,67.0,0.0,0.9722335943289334,1.0
45,490111257023005_1,1,1,0.0,0.0,36.79176074663386,67.0,0.0,0.0277664056710666,0.0
46,490111251021005_1,1,1,3.0,0.0,80.843635441433,38.0,0.0,0.6928592273442278,0.07894736842105263
47,490111251021005_2,1,2,35.0,0.0,80.843635441433,38.0,0.0,0.2506462986136899,0.9210526315789473
48,490111251021005_3,1,3,0.0,0.0,80.843635441433,38.0,0.0,0.05649447404208217,0.0
49,490111263041020_2,1,2,0.0,0.0,194.5189844186473,0.0,0.0,0.058825581565921235,0.058825581565921235
50,490111263041020_1,1,1,0.0,0.0,194.5189844186473,0.0,0.0,0.9411744184340788,0.9411744184340788
51,490111260021000_0,0,0,0.0,0.0,22.7879987632092,0.0,0.0,1.0,1.0
52,490111253013016_0,0,0,18.0,0.0,4.38450037056076,18.0,0.0,1.0,1.0
53,490111261082017_0,0,0,5.0,0.0,3.40407277960225,5.0,0.0,1.0,1.0
54,490111255021000_0,0,0,49.0,0.0,20.5706755189197,49.0,0.0,1.0,1.0
55,490111264061024_0,0,0,16.0,0.0,5.88879712664578,16.0,0.0,1.0,1.0
56,490111263063031_0,0,0,0.0,0.0,2.25425061884119,0.0,0.0,1.0,1.0
57,490111260011015_0,0,0,158.0,0.0,11.0853796347392,158.0,0.0,1.0,1.0
58,490111271005027_0,0,0,23.0,0.0,11.6379890614346,23.0,0.0,1.0,1.0
59,490111263051001_1,1,1,0.0,0.0,65.1078244095459,0.0,0.0,0.16909383700421032,0.16909383700421032
60,490111263051001_2,1,2,0.0,0.0,65.1078244095459,0.0,0.0,0.8309061629957898,0.8309061629957898
61,490111264052002_0,0,0,22.0,0.0,10.5411688481062,22.0,0.0,1.0,1.0
62,490111270061015_2,1,2,26.0,0.0,20.35070866272987,26.0,0.0,0.8924915768839381,1.0
63,490111270061015_1,1,1,0.0,0.0,20.35070866272987,26.0,0.0,0.10750842311606194,0.0
