,BLKSPLITID,SPLIT,SPLIT_IDX,HH10,HH19,ADDPT,BLK_ACRES,BLK_HH10,BLK_HH19,BLK_ADDPT,PCT_ACRES,PCT_HH10,PCT_HH19
0,490111263041104_0,0,0,16.0,16.0,0.0,5.91947475945,16.0,16.0,0.0,1.0,1.0,1.0
1,490111263051036_0,0,0,35.0,36.0,0.0,15.0544535087,35.0,36.0,0.0,1.0,1.0,1.0
2,490111253012017_0,0,0,38.0,38.0,0.0,9.71096393081,38.0,38.0,0.0,1.0,1.0,1.0
3,490111262021148_0,0,0,0.0,0.0,0.0,43.9523860794,0.0,0.0,0.0,1.0,1.0,1.0
4,490111262041064_0,0,0,0.0,0.0,0.0,1.08679489704,0.0,0.0,0.0,1.0,1.0,1.0
5,490111260022020_0,0,0,25.0,25.0,0.0,6.65538007438,25.0,25.0,0.0,1.0,1.0,1.0
6,490111260012009_0,0,0,20.0,20.0,0.0,5.76629527927,20.0,20.0,0.0,1.0,1.0,1.0
7,490111258053008_0,0,0,0.0,0.0,0.0,1.64890848359,0.0,0.0,0.0,1.0,1.0,1.0
8,490111252002100_0,0,0,0.0,0.0,0.0,0.253636543528,0.0,0.0,0.0,1.0,1.0,1.0
9,490111258011001_0,0,0,0.0,0.0,0.0,10.2769089503,0.0,0.0,0.0,1.0,1.0,1.0
10,490111251021033_0,0,0,4.0,5.0,0.0,4.64454303759,4.0,5.0,0.0,1.0,1.0,1.0
11,490111254051036_0,0,0,0.0,0.0,0.0,0.108451627376,0.0,0.0,0.0,1.0,1.0,1.0
12,490111254062005_0,0,0,17.0,17.0,0.0,8.49627252752,17.0,17.0,0.0,1.0,1.0,1.0
13,490111251022057_0,0,0,22.0,23.0,0.0,8.5460938581,22.0,23.0,0.0,1.0,1.0,1.0
14,490111255031001_0,0,0,18.0,18.0,0.0,6.66120591276,18.0,18.0,0.0,1.0,1.0,1.0
15,490111262021090_0,0,0,19.0,19.0,0.0,5.47610092028,19.0,19.0,0.0,1.0,1.0,1.0
16,490111258042001_0,0,0,0.0,0.0,0.0,1.32723076745,0.0,0.0,0.0,1.0,1.0,1.0
17,490111258051006_0,0,0,18.0,18.0,0.0,5.31200179036,18.0,18.0,0.0,1.0,1.0,1.0
18,490111261013010_0,0,0,14.0,14.0,0.0,5.0608709179,14.0,14.0,0.0,1.0,1.0,1.0
19,490111252001006_0,0,0,0.0,0.0,0.0,0.54409529625,0.0,0.0,0.0,1.0,1.0,1.0
20,490111251021092_0,0,0,0.0,0.0,0.0,1.4595373734,0.0,0.0,0.0,1.0,1.0,1.0
21,490111252002213_0,0,0,0.0,0.0,0.0,17.3758174001,0.0,0.0,0.0,1.0,1.0,1.0
22,490111253041012_0,0,0,30.0,30.0,0.0,8.96204986047,30.0,30.0,0.0,1.0,1.0,1.0
23,490111262021007_0,0,0,0.0,0.0,0.0,1.10874245911,0.0,0.0,0.0,1.0,1.0,1.0
24,490111257023014_0,0,0,14.0,14.0,0.0,3.53524640713,14.0,14.0,0.0,1.0,1.0,1.0
25,490111260022010_0,0,0,36.0,37.0,0.0,10.7613671636,36.0,37.0,0.0,1.0,1.0,1.0
26,490111261012026_0,0,0,4.0,4.0,0.0,4.18450024905,4.0,4.0,0.0,1.0,1.0,1.0
27,490111253032013_0,0,0,10.0,10.0,0.0,4.90177180387,10.0,10.0,0.0,1.0,1.0,1.0
28,490111261042040_0,0,0,56.0,57.0,0.0,30.0746932569,56.0,57.0,0.0,1.0,1.0,1.0
29,490111264041040_0,0,0,8.0,9.0,0.0,3.85378999834,8.0,9.0,0.0,1.0,1.0,1.0
30,490111254032025_0,0,0,7.0,7.0,0.0,2.75469795514,7.0,7.0,0.0,1.0,1.0,1.0
31,490111260011017_0,0,0,9.0,9.0,0.0,10.935954421,9.0,9.0,0.0,1.0,1.0,1.0
32,490111253032029_0,0,0,10.0,10.0,0.0,3.87675163148,10.0,10.0,0.0,1.0,1.0,1.0
33,490111264022058_0,0,0,0.0,0.0,0.0,3.47892767598,0.0,0.0,0.0,1.0,1.0,1.0
34,490111261052005_0,0,0,0.0,0.0,0.0,10.2539983696,0.0,0.0,0.0,1.0,1.0,1.0
35,490111253041001_0,0,0,35.0,35.0,0.0,10.5367854163,35.0,35.0,0.0,1.0,1.0,1.0
36,490111251021021_0,0,0,0.0,0.0,0.0,0.83328733602,0.0,0.0,0.0,1.0,1.0,1.0
37,490111254033082_0,0,0,0.0,0.0,0.0,21.9485488039,0.0,0.0,0.0,1.0,1.0,1.0
38,490111258014007_0,0,0,37.0,37.0,0.0,9.43274552896,37.0,37.0,0.0,1.0,1.0,1.0
39,490111255012002_0,0,0,26.0,26.0,0.0,9.85794879601,26.0,26.0,0.0,1.0,1.0,1.0
40,490111251032033_0,0,0,10.0,10.0,0.0,1.94984343257,10.0,10.0,0.0,1.0,1.0,1.0
41,490111265001000_0,0,0,0.0,0.0,0.0,5.20829385534,0.0,0.0,0.0,1.0,1.0,1.0
42,490111253013031_0,0,0,0.0,0.0,0.0,3.66732160125,0.0,0.0,0.0,1.0,1.0,1.0
43,490111259052017_0,0,0,16.0,16.0,0.0,3.93456161609,16.0,16.0,0.0,1.0,1.0,1.0
44,490111262041079_0,0,0,0.0,0.0,0.0,0.201595108953,0.0,0.0,0.0,1.0,1.0,1.0
45,490111262021158_0,0,0,0.0,0.0,0.0,0.31274976412,0.0,0.0,0.0,1.0,1.0,1.0
46,490111258052019_0,0,0,27.0,27.0,0.0,5.23409894215,27.0,27.0,0.0,1.0,1.0,1.0
47,490111254033044_0,0,0,0.0,0.0,0.0,0.303051840167,0.0,0.0,0.0,1.0,1.0,1.0
48,490111261054022_0,0,0,23.0,23.0,0.0,7.24685142683,23.0,23.0,0.0,1.0,1.0,1.0
49,490111261043038_0,0,0,9.0,9.0,0.0,4.1692627085,9.0,9.0,0.0,1.0,1.0,1.0
50,490111258043005_0,0,0,0.0,0.0,0.0,0.776619543998,0.0,0.0,0.0,1.0,1.0,1.0
51,490111259051007_0,0,0,14.0,14.0,0.0,6.87222218766,14.0,14.0,0.0,1.0,1.0,1.0
52,490111261042022_0,0,0,3.0,10.0,0.0,11.3001720977,3.0,10.0,0.0,1.0,1.0,1.0
53,490111261041055_0,0,0,0.0,0.0,0.0,2.00189709527,0.0,0.0,0.0,1.0,1.0,1.0
54,490111253033019_0,0,0,20.0,20.0,0.0,5.81420492561,20.0,20.0,0.0,1.0,1.0,1.0
55,490111252002039_0,0,0,0.0,0.0,0.0,24.6226688607,0.0,0.0,0.0,1.0,1.0,1.0
56,490111255021018_0,0,0,14.0,14.0,0.0,4.27220101731,14.0,14.0,0.0,1.0,1.0,1.0
57,490111255011004_0,0,0,0.0,0.0,0.0,0.753968332681,0.0,0.0,0.0,1.0,1.0,1.0
58,490111256001014_0,0,0,0.0,0.0,0.0,12.046115864,0.0,0.0,0.0,1.0,1.0,1.0
59,490111261051008_0,0,0,17.0,17.0,0.0,4.36454883029,17.0,17.0,0.0,1.0,1.0,1.0
60,490111258081013_0,0,0,0.0,0.0,0.0,0.562323148014,0.0,0.0,0.0,1.0,1.0,1.0
61,490111251022003_0,0,0,0.0,0.0,0.0,0.550531962293,0.0,0.0,0.0,1.0,1.0,1.0
62,490111260011006_0,0,0,0.0,0.0,0.0,51.0352542585,0.0,0.0,0.0,1.0,1.0,1.0
63,490111258071012_0,0,0,26.0,26.0,0.0,6.80620157083,26.0,26.0,0.0,1.0,1.0,1.0
64,490111258042006_0,0,0,14.0,14.0,0.0,5.26205701271,14.0,14.0,0.0,1.0,1.0,1.0
65,490111254033076_0,0,0,0.0,0.0,0.0,14.0321277887,0.0,0.0,0.0,1.0,1.0,1.0
66,490111254012081_0,0,0,30.0,30.0,0.0,6.98646332752,30.0,30.0,0.0,1.0,1.0,1.0
67,490111257012013_0,0,0,59.0,60.0,0.0,37.2571975781,59.0,60.0,0.0,1.0,1.0,1.0
68,490111252002127_0,0,0,0.0,0.0,0.0,0.158432969838,0.0,0.0,0.0,1.0,1.0,1.0
69,490111253033009_0,0,0,52.0,52.0,0.0,43.9458425472,52.0,52.0,0.0,1.0,1.0,1.0
70,490111252002303_0,0,0,0.0,0.0,0.0,2.6092785597,0.0,0.0,0.0,1.0,1.0,1.0
71,490111258043020_0,0,0,30.0,30.0,0.0,10.7526862885,30.0,30.0,0.0,1.0,1.0,1.0
72,490111254051055_0,0,0,27.0,27.0,0.0,6.79036449709,27.0,27.0,0.0,1.0,1.0,1.0
73,490111258044006_0,0,0,3.0,63.0,0.0,47.5796592662,3.0,63.0,0.0,1.0,1.0,1.0
74,490111262021002_0,0,0,250.0,250.0,0.0,3.1934482168,250.0,250.0,0.0,1.0,1.0,1.0
75,490111254033126_0,0,0,10.0,10.0,0.0,5.52293577953,10.0,10.0,0.0,1.0,1.0,1.0
76,490111263061004_0,0,0,0.0,0.0,0.0,0.151218290974,0.0,0.0,0.0,1.0,1.0,1.0
77,490111262021181_0,0,0,0.0,0.0,0.0,54.9725730105,0.0,0.0,0.0,1.0,1.0,1.0
78,490111253031017_0,0,0,5.0,6.0,0.0,49.3248654554,5.0,6.0,0.0,1.0,1.0,1.0
79,490111263042016_0,0,0,108.0,108.0,0.0,4.15171538308,108.0,108.0,0.0,1.0,1.0,1.0
80,490111264051001_0,0,0,66.0,67.0,0.0,28.0334872169,66.0,67.0,0.0,1.0,1.0,1.0
81,490111260012002_0,0,0,17.0,17.0,0.0,4.80542539046,17.0,17.0,0.0,1.0,1.0,1.0
82,490111259061024_0,0,0,21.0,21.0,0.0,3.54686481394,21.0,21.0,0.0,1.0,1.0,1.0
83,490111262031026_0,0,0,18.0,18.0,0.0,6.44489324409,18.0,18.0,0.0,1.0,1.0,1.0
84,490111254033063_0,0,0,0.0,0.0,0.0,2.71485435428,0.0,0.0,0.0,1.0,1.0,1.0
85,490111262031020_0,0,0,2.0,2.0,0.0,0.715408768762,2.0,2.0,0.0,1.0,1.0,1.0
86,490111259054026_0,0,0,13.0,15.0,0.0,5.54680269173,13.0,15.0,0.0,1.0,1.0,1.0
87,490111252002277_0,0,0,0.0,0.0,0.0,0.870564809691,0.0,0.0,0.0,1.0,1.0,1.0
88,490111254012096_0,0,0,6.0,14.0,0.0,5.77964496227,6.0,14.0,0.0,1.0,1.0,1.0
89,490111264022033_0,0,0,9.0,9.0,0.0,14.9325298287,9.0,9.0,0.0,1.0,1.0,1.0
90,490111254032018_0,0,0,2.0,3.0,0.0,1.60142972853,2.0,3.0,0.0,1.0,1.0,1.0
91,490111253051003_0,0,0,17.0,18.0,0.0,7.43022182304,17.0,18.0,0.0,1.0,1.0,1.0
92,490111263051015_0,0,0,0.0,0.0,0.0,0.5834782668,0.0,0.0,0.0,1.0,1.0,1.0
93,490111251042022_0,0,0,0.0,0.0,0.0,0.502983108696,0.0,0.0,0.0,1.0,1.0,1.0
