,BLOCKSPLITID,AREAPORTION,HH10,HH19,HH10PORTION,HH19PORTION
72,490111254051055_0,1.0,27.0,27.0,1.0,1.0
73,490111258044006_0,1.0,3.0,63.0,1.0,1.0
74,490111262021002_0,1.0,250.0,250.0,1.0,1.0
75,490111254033126_0,1.0,10.0,10.0,1.0,1.0
76,490111263061004_0,1.0,0.0,0.0,1.0,1.0
77,490111262021181_0,1.0,0.0,0.0,1.0,1.0
78,490111253031017_0,1.0,5.0,6.0,1.0,1.0
79,490111263042016_0,1.0,108.0,108.0,1.0,1.0
80,490111264051001_0,1.0,66.0,67.0,1.0,1.0
81,490111260012002_0,1.0,17.0,17.0,1.0,1.0
82,490111259061024_0,1.0,21.0,21.0,1.0,1.0
83,490111262031026_0,1.0,18.0,18.0,1.0,1.0
84,490111254033063_0,1.0,0.0,0.0,1.0,1.0
85,490111262031020_0,1.0,2.0,2.0,1.0,1.0
86,490111259054026_0,1.0,13.0,15.0,1.0,1.0
87,490111252002277_0,1.0,0.0,0.0,1.0,1.0
88,490111254012096_0,1.0,6.0,14.0,1.0,1.0
89,490111264022033_0,1.0,9.0,9.0,1.0,1.0
90,490111254032018_0,1.0,2.0,3.0,1.0,1.0
91,490111253051003_0,1.0,17.0,18.0,1.0,1.0
92,490111263051015_0,1.0,0.0,0.0,1.0,1.0
93,490111251042022_0,1.0,0.0,0.0,1.0,1.0
94,490111254033021_0,1.0,18.0,18.0,1.0,1.0
95,490111264052004_0,1.0,7.0,7.0,1.0,1.0
96,490111261042012_0,1.0,0.0,0.0,1.0,1.0
97,490111254061008_0,1.0,52.0,52.0,1.0,1.0
98,490111256001008_0,1.0,0.0,0.0,1.0,1.0
99,490111258014013_0,1.0,0.0,0.0,1.0,1.0
100,490111253042023_0,1.0,9.0,13.0,1.0,1.0
101,490111251021097_0,1.0,0.0,0.0,1.0,1.0
102,490111261014018_0,1.0,17.0,17.0,1.0,1.0
103,490111255012009_0,1.0,20.0,20.0,1.0,1.0
104,490111261051013_0,1.0,12.0,12.0,1.0,1.0
105,490111252002167_0,1.0,0.0,0.0,1.0,1.0
106,490111262021102_0,1.0,0.0,0.0,1.0,1.0
107,490111258042017_0,1.0,17.0,17.0,1.0,1.0
108,490111258013008_0,1.0,20.0,20.0,1.0,1.0
109,490111258083010_0,1.0,169.0,169.0,1.0,1.0
110,490111263063010_0,1.0,10.0,10.0,1.0,1.0
111,490111261043049_0,1.0,30.0,38.0,1.0,1.0
112,490111252002231_0,1.0,0.0,0.0,1.0,1.0
113,490111255022026_0,1.0,19.0,19.0,1.0,1.0
114,490111263062006_0,1.0,76.0,76.0,1.0,1.0
115,490111263051020_0,1.0,0.0,0.0,1.0,1.0
116,490111262022017_0,1.0,18.0,18.0,1.0,1.0
117,490111262021077_0,1.0,16.0,16.0,1.0,1.0
118,490111254051009_0,1.0,12.0,12.0,1.0,1.0
119,490111253031030_0,1.0,13.0,21.0,1.0,1.0
120,490111259071017_0,1.0,0.0,0.0,1.0,1.0
121,490111261012008_0,1.0,0.0,0.0,1.0,1.0
122,490111254051019_0,1.0,23.0,23.0,1.0,1.0
123,490111258072011_0,1.0,0.0,0.0,1.0,1.0
124,490111259052003_0,1.0,24.0,24.0,1.0,1.0
125,490111258081029_0,1.0,0.0,0.0,1.0,1.0
126,490111253053009_0,1.0,28.0,30.0,1.0,1.0
127,490111264021011_0,1.0,0.0,0.0,1.0,1.0
128,490111260011022_0,1.0,90.0,90.0,1.0,1.0
129,490111263031046_0,1.0,0.0,0.0,1.0,1.0
130,490111253032050_0,1.0,7.0,7.0,1.0,1.0
131,490111251041017_0,1.0,0.0,0.0,1.0,1.0
132,490111258052003_0,1.0,2.0,3.0,1.0,1.0
133,490111263051010_0,1.0,10.0,10.0,1.0,1.0
134,490111257022016_0,1.0,53.0,53.0,1.0,1.0
135,490111254012022_0,1.0,0.0,0.0,1.0,1.0
136,490111255021024_0,1.0,0.0,0.0,1.0,1.0
137,490111259081007_0,1.0,110.0,110.0,1.0,1.0
138,490111254012114_0,1.0,0.0,0.0,1.0,1.0
139,490111253032037_0,1.0,6.0,6.0,1.0,1.0
140,490111258013001_0,1.0,0.0,0.0,1.0,1.0
141,490111254052042_0,1.0,36.0,36.0,1.0,1.0
142,490111261042046_0,1.0,22.0,22.0,1.0,1.0
143,490111252002060_0,1.0,0.0,0.0,1.0,1.0
144,490111251041004_0,1.0,0.0,0.0,1.0,1.0
145,490111262041093_0,1.0,0.0,0.0,1.0,1.0
146,490111263032013_0,1.0,14.0,14.0,1.0,1.0
147,490111259051018_0,1.0,18.0,18.0,1.0,1.0
148,490111258011022_0,1.0,13.0,13.0,1.0,1.0
149,490111255022007_0,1.0,26.0,26.0,1.0,1.0
150,490111254033113_0,1.0,0.0,0.0,1.0,1.0
151,490111254033071_0,1.0,0.0,0.0,1.0,1.0
152,490111251042028_0,1.0,7.0,7.0,1.0,1.0
153,490111253042014_0,1.0,26.0,34.0,1.0,1.0
154,490111263051002_0,1.0,0.0,0.0,1.0,1.0
155,490111254012005_0,1.0,0.0,0.0,1.0,1.0
156,490111262041054_0,1.0,11.0,11.0,1.0,1.0
157,490111257022000_0,1.0,0.0,0.0,1.0,1.0
158,490111253032019_0,1.0,16.0,16.0,1.0,1.0
159,490111261051018_0,1.0,20.0,20.0,1.0,1.0
160,490111251042017_0,1.0,3.0,3.0,1.0,1.0
161,490111264022067_0,1.0,4.0,4.0,1.0,1.0
162,490111258072017_0,1.0,0.0,0.0,1.0,1.0
163,490111259081020_0,1.0,13.0,13.0,1.0,1.0
164,490111263032000_0,1.0,51.0,54.0,1.0,1.0
165,490111254051047_0,1.0,12.0,12.0,1.0,1.0
166,490111263031028_0,1.0,7.0,7.0,1.0,1.0
167,490111252002083_0,1.0,0.0,0.0,1.0,1.0
168,490111251022045_0,1.0,0.0,0.0,1.0,1.0
169,490111264042002_0,1.0,6.0,6.0,1.0,1.0
170,490111263051031_0,1.0,10.0,10.0,1.0,1.0
171,490111254052006_0,1.0,11.0,11.0,1.0,1.0
172,490111256001043_0,1.0,0.0,0.0,1.0,1.0
173,490111257022026_0,1.0,21.0,21.0,1.0,1.0
174,490111252002298_0,1.0,0.0,0.0,1.0,1.0
175,490111255032022_0,1.0,17.0,17.0,1.0,1.0
176,490111264061011_0,1.0,20.0,20.0,1.0,1.0
177,490111253051014_0,1.0,20.0,20.0,1.0,1.0
178,490111259071006_0,1.0,15.0,15.0,1.0,1.0
179,490111264021069_0,1.0,0.0,0.0,1.0,1.0
180,490111263041091_0,1.0,0.0,0.0,1.0,1.0
181,490111262021142_0,1.0,0.0,0.0,1.0,1.0
182,490111253013020_0,1.0,18.0,18.0,1.0,1.0
183,490111251021039_0,1.0,27.0,27.0,1.0,1.0
184,490111251022062_0,1.0,18.0,18.0,1.0,1.0
185,490111258041018_0,1.0,24.0,24.0,1.0,1.0
186,490111259053003_0,1.0,36.0,36.0,1.0,1.0
187,490111262041087_0,1.0,0.0,0.0,1.0,1.0
188,490111261042063_0,1.0,49.0,71.0,1.0,1.0
189,490111254052024_0,1.0,8.0,8.0,1.0,1.0
190,490111254062041_0,1.0,9.0,11.0,1.0,1.0
191,490111262041074_0,1.0,15.0,15.0,1.0,1.0
192,490111254062031_0,1.0,15.0,15.0,1.0,1.0
193,490111253012004_0,1.0,30.0,30.0,1.0,1.0
194,490111251021102_0,1.0,0.0,0.0,1.0,1.0
195,490111252002219_0,1.0,0.0,0.0,1.0,1.0
196,490111251031048_0,1.0,78.0,92.0,1.0,1.0
197,490111254061022_0,1.0,0.0,0.0,1.0,1.0
198,490111254013014_0,1.0,15.0,15.0,1.0,1.0
199,490111254012053_0,1.0,0.0,0.0,1.0,1.0
200,490111261042053_0,1.0,11.0,11.0,1.0,1.0
201,490111263031051_0,1.0,26.0,29.0,1.0,1.0
202,490111263041082_0,1.0,7.0,7.0,1.0,1.0
203,490111255032002_0,1.0,1.0,10.0,1.0,1.0
204,490111252002070_0,1.0,0.0,0.0,1.0,1.0
205,490111254012010_0,1.0,0.0,0.0,1.0,1.0
206,490111262032001_0,1.0,8.0,8.0,1.0,1.0
207,490111262032022_0,1.0,42.0,43.0,1.0,1.0
208,490111260011001_0,1.0,0.0,0.0,1.0,1.0
209,490111254031015_0,1.0,20.0,25.0,1.0,1.0
210,490111263041020_0,1.0,0.0,0.0,1.0,1.0
211,490111253032057_0,1.0,16.0,16.0,1.0,1.0
212,490111257023021_0,1.0,18.0,18.0,1.0,1.0
213,490111261043018_0,1.0,15.0,15.0,1.0,1.0
214,490111264062023_0,1.0,9.0,9.0,1.0,1.0
215,490111251032063_0,1.0,0.0,0.0,1.0,1.0
216,490111264022047_0,1.0,0.0,0.0,1.0,1.0
217,490111256001058_0,1.0,0.0,0.0,1.0,1.0
218,490111263063002_0,1.0,0.0,0.0,1.0,1.0
219,490111264041022_0,1.0,8.0,8.0,1.0,1.0
220,490111264022012_0,1.0,0.0,0.0,1.0,1.0
221,490111259063005_0,1.0,19.0,19.0,1.0,1.0
222,490111263061033_0,1.0,23.0,23.0,1.0,1.0
223,490111254033087_0,1.0,0.0,0.0,1.0,1.0
224,490111261014007_0,1.0,16.0,16.0,1.0,1.0
225,490111251022073_0,1.0,2.0,2.0,1.0,1.0
226,490111260014004_0,1.0,14.0,14.0,1.0,1.0
227,490111258013018_0,1.0,65.0,65.0,1.0,1.0
228,490111260021053_0,1.0,4.0,4.0,1.0,1.0
229,490111261051024_0,1.0,67.0,67.0,1.0,1.0
230,490111261013002_0,1.0,0.0,0.0,1.0,1.0
231,490111262022009_0,1.0,13.0,13.0,1.0,1.0
232,490111259061046_0,1.0,120.0,120.0,1.0,1.0
233,490111254033107_0,1.0,0.0,0.0,1.0,1.0
234,490111251042034_0,1.0,2.0,2.0,1.0,1.0
235,490111258041048_0,1.0,0.0,0.0,1.0,1.0
236,490111264021023_0,1.0,0.0,0.0,1.0,1.0
237,490111251031027_0,1.0,0.0,0.0,1.0,1.0
238,490111263063019_0,1.0,0.0,0.0,1.0,1.0
239,490111261041033_0,1.0,10.0,10.0,1.0,1.0
240,490111252002155_0,1.0,0.0,0.0,1.0,1.0
241,490111251021065_0,1.0,1.0,1.0,1.0,1.0
242,490111259061019_0,1.0,0.0,0.0,1.0,1.0
243,490111253011020_0,1.0,60.0,60.0,1.0,1.0
244,490111253042028_0,1.0,18.0,18.0,1.0,1.0
245,490111258082009_0,1.0,0.0,0.0,1.0,1.0
246,490111260022029_0,1.0,20.0,20.0,1.0,1.0
247,490111251031061_0,1.0,0.0,0.0,1.0,1.0
248,490111264061027_0,1.0,13.0,13.0,1.0,1.0
249,490111254012088_0,1.0,10.0,10.0,1.0,1.0
250,490111255013011_0,1.0,20.0,20.0,1.0,1.0
251,490111259053019_0,1.0,28.0,28.0,1.0,1.0
252,490111252002198_0,1.0,0.0,0.0,1.0,1.0
253,490111263041000_0,1.0,0.0,0.0,1.0,1.0
254,490111263063030_0,1.0,0.0,0.0,1.0,1.0
255,490111251021060_0,1.0,0.0,0.0,1.0,1.0
256,490111253013005_0,1.0,8.0,9.0,1.0,1.0
257,490111252002090_0,1.0,0.0,0.0,1.0,1.0
258,490111257021016_0,1.0,20.0,20.0,1.0,1.0
259,490111259061056_0,1.0,18.0,18.0,1.0,1.0
260,490111263062014_0,1.0,92.0,92.0,1.0,1.0
261,490111251032006_0,1.0,0.0,0.0,1.0,1.0
262,490111262021058_0,1.0,0.0,0.0,1.0,1.0
263,490111264021080_0,1.0,0.0,0.0,1.0,1.0
264,490111259063014_0,1.0,29.0,29.0,1.0,1.0
265,490111259062031_0,1.0,6.0,6.0,1.0,1.0
266,490111263051026_0,1.0,42.0,42.0,1.0,1.0
267,490111260014013_0,1.0,17.0,17.0,1.0,1.0
268,490111264022017_0,1.0,0.0,0.0,1.0,1.0
269,490111259053008_0,1.0,12.0,12.0,1.0,1.0
270,490111252002264_0,1.0,0.0,0.0,1.0,1.0
271,490111252002117_0,1.0,0.0,0.0,1.0,1.0
272,490111261051037_0,1.0,1.0,1.0,1.0,1.0
273,490111262022002_0,1.0,0.0,0.0,1.0,1.0
274,490111251043002_0,1.0,0.0,0.0,1.0,1.0
275,490111254033035_0,1.0,0.0,0.0,1.0,1.0
276,490111262032008_0,1.0,0.0,0.0,1.0,1.0
277,490111262021017_0,1.0,0.0,0.0,1.0,1.0
278,490111264061017_0,1.0,31.0,31.0,1.0,1.0
279,490111261011015_0,1.0,14.0,14.0,1.0,1.0
280,490111251021003_0,1.0,1.0,1.0,1.0,1.0
281,490111253043012_0,1.0,16.0,16.0,1.0,1.0
282,490111258052013_0,1.0,11.0,11.0,1.0,1.0
283,490111251021026_0,1.0,9.0,9.0,1.0,1.0
284,490111251032026_0,1.0,0.0,0.0,1.0,1.0
285,490111254011012_0,1.0,15.0,22.0,1.0,1.0
286,490111264022075_0,1.0,21.0,21.0,1.0,1.0
287,490111258081020_0,1.0,19.0,19.0,1.0,1.0
288,490111252002143_0,1.0,0.0,0.0,1.0,1.0
289,490111263051041_0,1.0,0.0,0.0,1.0,1.0
290,490111254011033_0,1.0,12.0,12.0,1.0,1.0
291,490111261042004_0,1.0,7.0,8.0,1.0,1.0
292,490111253033025_0,1.0,25.0,25.0,1.0,1.0
293,490111263041033_0,1.0,0.0,0.0,1.0,1.0
294,490111263043002_0,1.0,10.0,10.0,1.0,1.0
295,490111257021008_0,1.0,0.0,0.0,1.0,1.0
296,490111262032032_0,1.0,14.0,14.0,1.0,1.0
297,490111262041006_0,1.0,0.0,0.0,1.0,1.0
298,490111261052027_0,1.0,24.0,24.0,1.0,1.0
299,490111261043032_0,1.0,8.0,8.0,1.0,1.0
300,490111264021058_0,1.0,9.0,9.0,1.0,1.0
301,490111262043012_0,1.0,0.0,0.0,1.0,1.0
302,490111263051048_0,1.0,0.0,0.0,1.0,1.0
303,490111260012020_0,1.0,0.0,0.0,1.0,1.0
304,490111262041041_0,1.0,0.0,0.0,1.0,1.0
305,490111265001005_0,1.0,0.0,0.0,1.0,1.0
306,490111255021003_0,1.0,25.0,25.0,1.0,1.0
307,490111255013005_0,1.0,17.0,17.0,1.0,1.0
308,490111254062011_0,1.0,35.0,36.0,1.0,1.0
309,490111251021045_0,1.0,0.0,0.0,1.0,1.0
310,490111264021089_0,1.0,0.0,0.0,1.0,1.0
311,490111261042027_0,1.0,12.0,12.0,1.0,1.0
312,490111259054004_0,1.0,11.0,11.0,1.0,1.0
313,490111261042034_0,1.0,5.0,5.0,1.0,1.0
314,490111261043006_0,1.0,15.0,15.0,1.0,1.0
315,490111262021130_0,1.0,4.0,17.0,1.0,1.0
316,490111255023004_0,1.0,25.0,25.0,1.0,1.0
317,490111251022082_0,1.0,0.0,0.0,1.0,1.0
318,490111255031008_0,1.0,68.0,68.0,1.0,1.0
319,490111252002208_0,1.0,0.0,0.0,1.0,1.0
320,490111258041041_0,1.0,0.0,0.0,1.0,1.0
321,490111254062020_0,1.0,10.0,10.0,1.0,1.0
322,490111263031039_0,1.0,34.0,34.0,1.0,1.0
323,490111264051013_0,1.0,14.0,14.0,1.0,1.0
324,490111256001053_0,1.0,0.0,0.0,1.0,1.0
325,490111259081014_0,1.0,114.0,114.0,1.0,1.0
326,490111254011001_0,1.0,23.0,23.0,1.0,1.0
327,490111259054031_0,1.0,16.0,16.0,1.0,1.0
328,490111251041060_0,1.0,19.0,19.0,1.0,1.0
329,490111265001010_0,1.0,11.0,11.0,1.0,1.0
330,490111254031034_0,1.0,14.0,14.0,1.0,1.0
331,490111255011022_0,1.0,1.0,1.0,1.0,1.0
332,490111252002287_0,1.0,0.0,0.0,1.0,1.0
333,490111253051021_0,1.0,33.0,33.0,1.0,1.0
334,490111251022067_0,1.0,0.0,0.0,1.0,1.0
335,490111252002181_0,1.0,0.0,0.0,1.0,1.0
336,490111251041029_0,1.0,0.0,0.0,1.0,1.0
337,490111254012037_0,1.0,0.0,0.0,1.0,1.0
338,490111254033101_0,1.0,0.0,0.0,1.0,1.0
339,490111258041011_0,1.0,0.0,0.0,1.0,1.0
340,490111255021010_0,1.0,113.0,113.0,1.0,1.0
341,490111263031001_0,1.0,0.0,0.0,1.0,1.0
342,490111252002075_0,1.0,0.0,0.0,1.0,1.0
343,490111262031036_0,1.0,0.0,0.0,1.0,1.0
344,490111260013009_0,1.0,9.0,9.0,1.0,1.0
345,490111259061034_0,1.0,11.0,11.0,1.0,1.0
346,490111259062009_0,1.0,11.0,11.0,1.0,1.0
347,490111252002148_0,1.0,0.0,0.0,1.0,1.0
348,490111252002032_0,1.0,0.0,0.0,1.0,1.0
349,490111260021023_0,1.0,40.0,41.0,1.0,1.0
350,490111262021064_0,1.0,0.0,0.0,1.0,1.0
351,490111262021012_0,1.0,13.0,13.0,1.0,1.0
352,490111261014026_0,1.0,18.0,18.0,1.0,1.0
353,490111263062019_0,1.0,11.0,11.0,1.0,1.0
354,490111257011015_0,1.0,0.0,0.0,1.0,1.0
355,490111259054009_0,1.0,0.0,0.0,1.0,1.0
356,490111263061012_0,1.0,23.0,23.0,1.0,1.0
357,490111252001022_0,1.0,0.0,0.0,1.0,1.0
358,490111260013004_0,1.0,0.0,0.0,1.0,1.0
359,490111263031011_0,1.0,0.0,0.0,1.0,1.0
360,490111258011017_0,1.0,0.0,0.0,1.0,1.0
361,490111251032068_0,1.0,0.0,0.0,1.0,1.0
362,490111251022037_0,1.0,0.0,0.0,1.0,1.0
363,490111262042027_0,1.0,0.0,0.0,1.0,1.0
364,490111255031014_0,1.0,35.0,35.0,1.0,1.0
365,490111255011030_0,1.0,16.0,16.0,1.0,1.0
366,490111254052013_0,1.0,29.0,29.0,1.0,1.0
367,490111253052026_0,1.0,8.0,8.0,1.0,1.0
368,490111262021136_0,1.0,0.0,0.0,1.0,1.0
369,490111254051041_0,1.0,14.0,14.0,1.0,1.0
370,490111262021115_0,1.0,0.0,0.0,1.0,1.0
371,490111253032044_0,1.0,14.0,14.0,1.0,1.0
372,490111252002022_0,1.0,0.0,0.0,1.0,1.0
373,490111262032039_0,1.0,0.0,0.0,1.0,1.0
374,490111257021026_0,1.0,67.0,67.0,1.0,1.0
375,490111261042074_0,1.0,0.0,0.0,1.0,1.0
376,490111253012025_0,1.0,0.0,0.0,1.0,1.0
377,490111257011006_0,1.0,0.0,0.0,1.0,1.0
378,490111251022032_0,1.0,16.0,16.0,1.0,1.0
379,490111259062025_0,1.0,4.0,4.0,1.0,1.0
380,490111253013015_0,1.0,21.0,21.0,1.0,1.0
381,490111262042006_0,1.0,0.0,0.0,1.0,1.0
382,490111261012021_0,1.0,29.0,29.0,1.0,1.0
383,490111252002011_0,1.0,0.0,0.0,1.0,1.0
384,490111251042043_0,1.0,50.0,50.0,1.0,1.0
385,490111254031004_0,1.0,16.0,16.0,1.0,1.0
386,490111262021169_0,1.0,0.0,0.0,1.0,1.0
387,490111253014007_0,1.0,16.0,16.0,1.0,1.0
388,490111254031009_0,1.0,1.0,1.0,1.0,1.0
389,490111254033051_0,1.0,1.0,1.0,1.0,1.0
390,490111258053019_0,1.0,61.0,61.0,1.0,1.0
391,490111255011017_0,1.0,53.0,53.0,1.0,1.0
392,490111261054013_0,1.0,0.0,0.0,1.0,1.0
393,490111259061029_0,1.0,2.0,2.0,1.0,1.0
394,490111259071001_0,1.0,50.0,51.0,1.0,1.0
395,490111255023012_0,1.0,15.0,15.0,1.0,1.0
396,490111259052011_0,1.0,25.0,25.0,1.0,1.0
397,490111264021064_0,1.0,0.0,0.0,1.0,1.0
398,490111262031009_0,1.0,7.0,8.0,1.0,1.0
399,490111258041029_0,1.0,11.0,11.0,1.0,1.0
400,490111258072004_0,1.0,0.0,0.0,1.0,1.0
401,490111263041040_0,1.0,0.0,0.0,1.0,1.0
402,490111264021018_0,1.0,0.0,0.0,1.0,1.0
403,490111251022052_0,1.0,4.0,4.0,1.0,1.0
404,490111254052001_0,1.0,130.0,130.0,1.0,1.0
405,490111251043017_0,1.0,21.0,21.0,1.0,1.0
406,490111258051014_0,1.0,0.0,0.0,1.0,1.0
407,490111254033014_0,1.0,44.0,44.0,1.0,1.0
408,490111252002138_0,1.0,0.0,0.0,1.0,1.0
409,490111252002225_0,1.0,0.0,0.0,1.0,1.0
410,490111254012102_0,1.0,0.0,0.0,1.0,1.0
411,490111264021034_0,1.0,0.0,0.0,1.0,1.0
412,490111252001016_0,1.0,0.0,0.0,1.0,1.0
413,490111258011028_0,1.0,0.0,0.0,1.0,1.0
414,490111258082016_0,1.0,24.0,24.0,1.0,1.0
415,490111259082012_0,1.0,7.0,7.0,1.0,1.0
416,490111251031019_0,1.0,0.0,0.0,1.0,1.0
417,490111253033004_0,1.0,4.0,4.0,1.0,1.0
418,490111254051062_0,1.0,31.0,31.0,1.0,1.0
419,490111258071004_0,1.0,12.0,12.0,1.0,1.0
420,490111256001030_0,1.0,0.0,0.0,1.0,1.0
421,490111254012074_0,1.0,16.0,16.0,1.0,1.0
422,490111259061008_0,1.0,24.0,24.0,1.0,1.0
423,490111254051014_0,1.0,12.0,12.0,1.0,1.0
424,490111264062002_0,1.0,8.0,8.0,1.0,1.0
425,490111252001011_0,1.0,0.0,0.0,1.0,1.0
426,490111259062043_0,1.0,46.0,46.0,1.0,1.0
427,490111258052008_0,1.0,2.0,2.0,1.0,1.0
428,490111264061004_0,1.0,3.0,3.0,1.0,1.0
429,490111262022025_0,1.0,10.0,10.0,1.0,1.0
430,490111252002310_0,1.0,0.0,0.0,1.0,1.0
431,490111254013006_0,1.0,10.0,10.0,1.0,1.0
432,490111255032033_0,1.0,4.0,28.0,1.0,1.0
433,490111263041008_0,1.0,0.0,0.0,1.0,1.0
434,490111261051003_0,1.0,37.0,37.0,1.0,1.0
435,490111264052018_0,1.0,46.0,46.0,1.0,1.0
436,490111261043056_0,1.0,8.0,9.0,1.0,1.0
437,490111258053013_0,1.0,10.0,10.0,1.0,1.0
438,490111259061014_0,1.0,4.0,4.0,1.0,1.0
439,490111258072022_0,1.0,0.0,0.0,1.0,1.0
440,490111262021053_0,1.0,0.0,0.0,1.0,1.0
441,490111255032009_0,1.0,7.0,18.0,1.0,1.0
442,490111254052019_0,1.0,38.0,38.0,1.0,1.0
443,490111259054014_0,1.0,15.0,15.0,1.0,1.0
444,490111252002045_0,1.0,0.0,0.0,1.0,1.0
445,490111261052011_0,1.0,7.0,7.0,1.0,1.0
446,490111253053004_0,1.0,21.0,21.0,1.0,1.0
447,490111262041035_0,1.0,0.0,0.0,1.0,1.0
448,490111260021012_0,1.0,2.0,2.0,1.0,1.0
449,490111261013021_0,1.0,21.0,21.0,1.0,1.0
450,490111259061051_0,1.0,0.0,0.0,1.0,1.0
451,490111260012014_0,1.0,22.0,22.0,1.0,1.0
452,490111253014013_0,1.0,5.0,5.0,1.0,1.0
453,490111251043007_0,1.0,47.0,47.0,1.0,1.0
454,490111262042015_0,1.0,17.0,17.0,1.0,1.0
455,490111251021012_0,1.0,0.0,0.0,1.0,1.0
456,490111264041030_0,1.0,23.0,23.0,1.0,1.0
457,490111253013010_0,1.0,0.0,0.0,1.0,1.0
458,490111253011013_0,1.0,8.0,8.0,1.0,1.0
459,490111253033035_0,1.0,23.0,23.0,1.0,1.0
460,490111254052049_0,1.0,0.0,0.0,1.0,1.0
461,490111253031049_0,1.0,9.0,9.0,1.0,1.0
462,490111261014012_0,1.0,3.0,3.0,1.0,1.0
