,BLOCKSPLITID,AREAPORTION,HH10,HH19,HH10PORTION,HH19PORTION
0,490111263041104_0,1.0,16.0,16.0,1.0,1.0
1,490111263051036_0,1.0,35.0,36.0,1.0,1.0
2,490111253012017_0,1.0,38.0,38.0,1.0,1.0
3,490111262021148_0,1.0,0.0,0.0,1.0,1.0
4,490111262041064_0,1.0,0.0,0.0,1.0,1.0
5,490111260022020_0,1.0,25.0,25.0,1.0,1.0
6,490111260012009_0,1.0,20.0,20.0,1.0,1.0
7,490111258053008_0,1.0,0.0,0.0,1.0,1.0
8,490111252002100_0,1.0,0.0,0.0,1.0,1.0
9,490111258011001_0,1.0,0.0,0.0,1.0,1.0
10,490111251021033_0,1.0,4.0,5.0,1.0,1.0
11,490111254051036_0,1.0,0.0,0.0,1.0,1.0
12,490111254062005_0,1.0,17.0,17.0,1.0,1.0
13,490111251022057_0,1.0,22.0,23.0,1.0,1.0
14,490111255031001_0,1.0,18.0,18.0,1.0,1.0
15,490111262021090_0,1.0,19.0,19.0,1.0,1.0
16,490111258042001_0,1.0,0.0,0.0,1.0,1.0
17,490111258051006_0,1.0,18.0,18.0,1.0,1.0
18,490111261013010_0,1.0,14.0,14.0,1.0,1.0
19,490111252001006_0,1.0,0.0,0.0,1.0,1.0
20,490111251021092_0,1.0,0.0,0.0,1.0,1.0
21,490111252002213_0,1.0,0.0,0.0,1.0,1.0
22,490111253041012_0,1.0,30.0,30.0,1.0,1.0
23,490111262021007_0,1.0,0.0,0.0,1.0,1.0
24,490111257023014_0,1.0,14.0,14.0,1.0,1.0
25,490111260022010_0,1.0,36.0,37.0,1.0,1.0
26,490111261012026_0,1.0,4.0,4.0,1.0,1.0
27,490111253032013_0,1.0,10.0,10.0,1.0,1.0
28,490111261042040_0,1.0,56.0,57.0,1.0,1.0
29,490111264041040_0,1.0,8.0,9.0,1.0,1.0
30,490111254032025_0,1.0,7.0,7.0,1.0,1.0
31,490111260011017_0,1.0,9.0,9.0,1.0,1.0
32,490111253032029_0,1.0,10.0,10.0,1.0,1.0
33,490111264022058_0,1.0,0.0,0.0,1.0,1.0
34,490111261052005_0,1.0,0.0,0.0,1.0,1.0
35,490111253041001_0,1.0,35.0,35.0,1.0,1.0
36,490111251021021_0,1.0,0.0,0.0,1.0,1.0
37,490111254033082_0,1.0,0.0,0.0,1.0,1.0
38,490111258014007_0,1.0,37.0,37.0,1.0,1.0
39,490111255012002_0,1.0,26.0,26.0,1.0,1.0
40,490111251032033_0,1.0,10.0,10.0,1.0,1.0
41,490111265001000_0,1.0,0.0,0.0,1.0,1.0
42,490111253013031_0,1.0,0.0,0.0,1.0,1.0
43,490111259052017_0,1.0,16.0,16.0,1.0,1.0
44,490111262041079_0,1.0,0.0,0.0,1.0,1.0
45,490111262021158_0,1.0,0.0,0.0,1.0,1.0
46,490111258052019_0,1.0,27.0,27.0,1.0,1.0
47,490111254033044_0,1.0,0.0,0.0,1.0,1.0
48,490111261054022_0,1.0,23.0,23.0,1.0,1.0
49,490111261043038_0,1.0,9.0,9.0,1.0,1.0
50,490111258043005_0,1.0,0.0,0.0,1.0,1.0
51,490111259051007_0,1.0,14.0,14.0,1.0,1.0
52,490111261042022_0,1.0,3.0,10.0,1.0,1.0
53,490111261041055_0,1.0,0.0,0.0,1.0,1.0
54,490111253033019_0,1.0,20.0,20.0,1.0,1.0
55,490111252002039_0,1.0,0.0,0.0,1.0,1.0
56,490111255021018_0,1.0,14.0,14.0,1.0,1.0
57,490111255011004_0,1.0,0.0,0.0,1.0,1.0
58,490111256001014_0,1.0,0.0,0.0,1.0,1.0
59,490111261051008_0,1.0,17.0,17.0,1.0,1.0
60,490111258081013_0,1.0,0.0,0.0,1.0,1.0
61,490111251022003_0,1.0,0.0,0.0,1.0,1.0
62,490111260011006_0,1.0,0.0,0.0,1.0,1.0
63,490111258071012_0,1.0,26.0,26.0,1.0,1.0
64,490111258042006_0,1.0,14.0,14.0,1.0,1.0
65,490111254033076_0,1.0,0.0,0.0,1.0,1.0
66,490111254012081_0,1.0,30.0,30.0,1.0,1.0
67,490111257012013_0,1.0,59.0,60.0,1.0,1.0
68,490111252002127_0,1.0,0.0,0.0,1.0,1.0
69,490111253033009_0,1.0,52.0,52.0,1.0,1.0
70,490111252002303_0,1.0,0.0,0.0,1.0,1.0
71,490111258043020_0,1.0,30.0,30.0,1.0,1.0
